appId,categories,team_size,total_changes,over_permissions,overages
567,Science & Education,4,109,"android.permission.INTERNET
;android.permission.READ_PHONE_STATE
;android.permission.ACCESS_NETWORK_STATE
;android.permission.ACCESS_WIFI_STATE
;android.permission.WRITE_EXTERNAL_STORAGE
;android.permission.RECEIVE_BOOT_COMPLETED
;android.permission.ACCESS_COARSE_LOCATION
",7
569,System,2,52,,0
572,Wallpaper,1,3,,0
573,Office,7,121,"android.permission.READ_CALENDAR
;android.permission.WRITE_CALENDAR
",2
574,Reading,1,17,,0
575,System,1,12,,0
576,"Multimedia,Wallpaper",1,2,,0
577,Office,1,135,,0
578,Internet,18,832,,0
580,Multimedia,1,22,,0
583,Science & Education,2,541,,0
584,Office,2,27,,0
586,Phone & SMS,2,13,"android.permission.WRITE_SECURE_SETTINGS
",1
587,Office,1,12,,0
588,System,1,13,"android.permission.ACCESS_SUPERUSER
",1
589,Internet,2,2,,0
591,Office,1,327,,0
593,Office,3,31,,0
594,"Multimedia,Wallpaper",1,10,"android.permission.READ_EXTERNAL_STORAGE
",1
595,Office,1,2,"android.permission.NFC
",1
596,Office,1,10,,0
597,System,1,37,"android.permission.ACCESS_SUPERUSER
",1
599,System,8,77,,0
601,Navigation,3,10,"android.permission.READ_EXTERNAL_STORAGE
",1
602,Internet,7,462,"android.permission.ACCESS_SUPERUSER
",1
603,Multimedia,2,61,"android.permission.ACCESS_NETWORK_STATE
",1
604,Games,2,15,,0
605,Office,3,154,"android.permission.READ_EXTERNAL_STORAGE
",1
606,Internet,4,49,"android.permission.WRITE_EXTERNAL_STORAGE
",1
610,System,4,96,,0
612,System,1,12,"android.permission.READ_EXTERNAL_STORAGE
;android.permission.CHANGE_NETWORK_STATE
;android.permission.SYSTEM_ALERT_WINDOW
",3
613,System,1,33,"android.permission.ACCESS_SUPERUSER
",1
615,Games,2,19,"android.permission.WRITE_EXTERNAL_STORAGE
",1
616,Office,2,4,"android.permission.INTERNET
",1
617,Office,11,458,"android.permission.NFC
",1
619,Multimedia,2,113,,0
621,Office,6,220,,0
622,Science & Education,2,98,,0
623,System,2,340,"android.permission.ACCESS_SUPERUSER
",1
624,"Internet,Office",1,37,,0
626,Multimedia,3,11,,0
627,Science & Education,1,9,,0
629,Wallpaper,1,35,,0
630,Games,1,5,,0
631,Reading,4,162,"android.permission.WRITE_EXTERNAL_STORAGE
",1
636,Reading,4,73,"android.permission.ACCESS_NETWORK_STATE
",1
638,Internet,2,112,,0
641,Wallpaper,2,49,"android.permission.BIND_WALLPAPER
;android.permission.INTERNET
;android.permission.ACCESS_NETWORK_STATE
",3
643,Games,1,2,"android.permission.WRITE_EXTERNAL_STORAGE
",1
644,Office,5,45,,0
646,Multimedia,2,234,"android.permission.ACCESS_NETWORK_STATE
",1
647,Internet,3,60,,0
648,Office,1,104,,0
650,Internet,1,6,,0
651,System,1,15,,0
652,Games,1,15,,0
653,System,21,998,"android.permission.WRITE_SETTINGS
;android.permission.ACCESS_SUPERUSER
",2
654,System,1,89,"android.permission.INTERNET
;android.permission.ACCESS_SUPERUSER
",2
656,Multimedia,1,3,"android.permission.INTERNET
",1
657,Wallpaper,1,27,,0
658,Office,1,58,,0
659,Phone & SMS,2,17,"android.permission.READ_CALL_LOG
",1
661,Office,2,14,,0
663,Multimedia,36,499,,0
665,System,2,91,"android.permission.BIND_INPUT_METHOD
",1
666,Games,3,56,,0
667,Navigation,5,191,"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
",1
669,Reading,1,127,,0
670,"Games,Multimedia",3,8,"android.permission.READ_EXTERNAL_STORAGE
",1
671,Games,3,132,,0
674,Office,2,20,,0
676,Reading,2,136,,0
677,Office,8,154,,0
678,System,2,190,,0
679,System,5,13,,0
680,Development,2,89,,0
681,Multimedia,28,894,"android.permission.WRITE_EXTERNAL_STORAGE
",1
682,Office,6,180,,0
684,Office,26,5565,"android.permission.READ_CALL_LOG
",1
685,Science & Education,1,17,,0
687,Reading,1,57,,0
688,Internet,2,51,,0
691,Games,1,49,,0
693,Games,1,7,,0
695,Internet,1,6,,0
696,Office,1,78,"android.permission.READ_EXTERNAL_STORAGE
",1
697,Science & Education,1,331,,0
698,Office,5,38,,0
699,Wallpaper,1,13,,0
702,Office,2,63,,0
703,Office,4,174,"android.permission.READ_EXTERNAL_STORAGE
",1
704,System,2,4,,0
705,System,2,26,,0
706,Office,2,6,,0
708,Multimedia,15,933,,0
709,Wallpaper,2,8,,0
710,System,76,888,"android.permission.INTERNET
;android.permission.READ_EXTERNAL_STORAGE
;android.permission.ACCESS_SUPERUSER
",3
711,Reading,18,954,"android.permission.VIBRATE
",1
713,System,2,10,"android.permission.READ_EXTERNAL_STORAGE
",1
714,System,1,78,,0
715,System,1,76,"android.permission.ACCESS_SUPERUSER
;android.permission.FLASHLIGHT
;android.permission.GET_ACCOUNTS
;android.permission.READ_CALL_LOG
;android.permission.READ_EXTERNAL_STORAGE
;android.permission.WAKE_LOCK
",6
716,Science & Education,2,148,,0
719,Multimedia,4,34,,0
720,Development,6,333,"android.permission.ACCESS_SUPERUSER
",1
721,Office,7,3576,,0
724,System,53,1447,"android.permission.DISABLE_KEYGUARD
;android.permission.READ_EXTERNAL_STORAGE
",2
725,Office,2,15,,0
726,Games,1,30,,0
729,Games,7,93,"android.permission.CHANGE_WIFI_STATE
;android.permission.ACCESS_WIFI_STATE
;android.permission.MOUNT_FORMAT_FILESYSTEMS
",3
730,System,2,1236,,0
732,System,2,112,,0
734,Science & Education,91,4972,,0
735,Development,65,2369,"android.permission.READ_SYNC_SETTINGS
;android.permission.READ_SYNC_STATS
",2
738,"Security,Internet",15,1028,"android.permission.ACCESS_SUPERUSER
",1
739,"Security,Internet",2,297,,0
741,Science & Education,4,74,,0
742,Phone & SMS,10,997,,0
746,Office,16,1818,,0
747,Games,2,97,,0
749,Internet,4,240,,0
750,System,1,3,,0
