fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
51.11,128,764,961,11152,14750,2555,20,3.3,0,19,1149,374,1
15,6,38,202,820,1391,183,30.5,4.8,0,3,154,85,0
51.11,30,126,43,1568,2013,284,9.5,2.1,0,9,80,23,1
50,14,121,203,2765,3700,468,33.4,3.9,0,11,824,159,1
51.11,6,61,60,1055,1347,145,24.2,2.4,0,0,201,12,1
0,41,243,257,3433,4371,638,15.6,2.6,0,1,74,96,0
20,42,362,56,3618,5180,1072,25.5,2.9,9,3,480,174,0
51.11,147,997,1352,15093,21473,3411,23.2,3,2,35,1720,677,1
51.11,201,1223,885,13965,22316,3008,15,2.5,1,1,454,338,1
51.11,42,237,246,3354,4936,666,15.9,2.8,0,0,135,113,1
0,6,24,102,298,506,54,9,2,0,0,41,10,0
51.11,5,14,38,361,455,49,9.8,3.5,0,9,43,13,1
51.11,35,197,163,2828,4011,471,13.5,2.1,0,17,116,70,1
0,220,1580,3010,23520,32448,5575,25.3,3.5,0,28,2304,1054,0
51.11,20,93,21,1091,1312,270,13.5,2.8,0,0,69,56,1
0,1,5,2,44,55,9,9,1.8,0,0,1,2,0
51.11,8,44,208,944,1290,144,18,2.9,0,2,121,87,1
51.11,51,396,173,4919,6605,1216,23.8,3,0,13,536,550,1
51.11,25,162,195,2580,4017,497,19.9,2.8,0,1,173,50,1
0,1,1,3,25,34,4,4,4,0,0,2,1,0
44.62,21,104,235,1374,2049,338,16.1,3.2,0,2,100,96,1
0,1,4,2,59,81,13,13,3.3,0,0,4,6,0
0,10,37,11,399,682,58,5.8,1.6,0,0,9,32,0
51.11,1,3,4,101,115,10,10,3.3,0,0,5,6,1
